X,Y,CoolPlot
0.529620104,13.98565304,40001446.74
11.73129296,40.27925886,40701607.11
65.33857765,93.11320447,66774804.58
92.47023581,90.32478339,36724390.37
27.40143211,44.48681874,41497225.93
98.12999791,84.38812102,19230064.67
6.041500336,32.11796214,40193082.85
78.19916729,50.74675111,25952516.02
58.24333465,2.242566635,39557574.93
18.25423693,30.02399808,40311423.4
58.48418668,15.99508715,37039684.32
80.31848832,25.13091969,28253477.49
87.81391109,67.01167419,21047497.75
30.17099065,8.014453289,39795419.99
57.94518555,28.83630182,35779056.28
88.48438247,37.34712424,18735722.71
37.25238605,96.27964796,68270057.45
80.79659478,17.94404478,31002284.85
30.91174946,21.94381247,39678471.92
35.53210135,13.2883225,39487255.32
39.937023,72.4070225,50548451.68
43.1828079,17.52167911,38821354.64
30.1923856,39.58919173,40783781.69
38.36712424,91.2181315,63968964.89
22.65514515,62.37943312,44773753.13
3.932582306,62.25951887,40945276.62
18.34791009,9.424590545,39957146.08
78.56020188,54.83603072,26366630.2
80.65879965,38.71309964,24364950.87
50.07115185,96.98961407,73508378.03
13.04328779,14.6770533,40008669.9
60.70767834,38.93667475,34872169.93
53.31972406,81.44299094,56458002.64
88.07013523,77.56829538,28116635.76
29.63960549,9.056788305,39786192.99
2.880278902,18.77548975,40018615.11
19.69939225,44.16236532,41359112.03
48.37020702,58.25499158,42969874.87
66.40470033,55.77656922,35190364.6
12.48909952,49.62482546,41429588.38
36.90768779,86.38602984,59449858.21
18.97938809,40.81950724,41011808.05
74.28957427,75.86784766,41335717.67
45.63879367,40.9248394,39237847.32
15.42451083,19.68745444,40045453.33
95.67960346,96.98729259,42338007.06
13.69110377,37.28871589,40614161.01
47.89049766,13.5748551,38628780.23
56.27153506,55.29173722,39659899.93
88.35562433,17.96754447,28119083.1
60.79421188,23.3750233,35524289.04
47.50464944,28.4297954,38043815.12
41.73015574,14.17094966,39088962.91
15.78532858,78.29325884,47267815.66
19.13061567,53.89329314,42617230.45
45.93526656,29.00155688,38309500.9
7.868697176,62.63100402,41902660.12
48.81063123,72.6884602,50293137.17
26.39299716,42.01160709,41184638.16
76.20127906,56.51043758,28747099.62
51.98794249,75.3449147,51649669.47
90.53342773,72.84258822,20939641
61.80232328,2.918901214,39312513.83
55.97105611,45.8561709,37356458.31
39.19671341,43.95293183,40681333.42
72.87396584,42.97504479,29152326.92
72.85623525,14.2078667,34714444.22
3.326997319,79.37956274,41661173.44
37.64139829,65.72457878,47181538.03
45.872889,94.5088736,69600366.1
13.57339254,63.27909946,43281050.45
69.33464384,50.89772618,32177269.04
11.1144978,30.35120152,40269082.46
13.80558612,62.30160188,43174576.51
28.84161644,4.783548676,39888392.09
49.56207616,13.92141712,38438868.53
39.42163852,64.16095638,46481566.89
69.22929912,54.30543948,33068878.31
86.72908076,51.19327881,18239018.06
17.01022267,51.27626204,42040915.5
72.90649681,81.52419792,47910024.3
20.14742885,36.88554708,40709428.33
91.64137744,26.25815849,21450412.03
72.32768218,22.02556977,32439077.33
76.44538909,66.40412862,32718625.16
99.79642615,48.15057675,3283770.269
96.88276969,44.52104711,8063525.394
13.85007297,34.32038171,40468715.49
27.44189538,16.25148556,39781943.61
5.536036734,46.40949003,40545500.62
34.84066604,38.47227424,40356873.2
36.82598308,4.381379716,39784283.91
90.51661481,59.82777712,15013878.71
61.12910238,86.92034382,60288432.22
54.48279403,22.66330088,36968973.45
61.60891732,24.76108415,35145012.52
43.51107572,51.70636771,41755596.87
23.29400268,36.44813615,40667209.86
22.14724715,57.29391524,43542892.73
28.72600819,25.31852294,39866063.36
61.59975932,32.76278576,34508270.19
30.15086409,3.803280451,39897413.15
28.3988844,56.87719493,43922662.07
17.23911365,79.81512601,48356463.73
89.95015302,30.45883395,20374185.9
51.18434538,87.75900157,62826894.7
19.97337387,66.79451284,45419924.19
19.22434611,85.8111101,51537691.77
51.89177886,12.49110289,38355728.88
75.69850857,70.60211275,36015128.31
13.68715102,86.69835516,48697299.82
5.335103821,14.59086403,40014356.73
31.45874041,9.21725064,39737671.94
22.54762184,15.37628719,39905710.07
71.66338899,7.495955412,37271391.7
95.13928661,36.99647254,12958136.26
15.34354652,38.55402135,40740028.82
85.06807262,92.48209011,50356163.79
26.33628439,56.77717336,43783179.54
58.99240699,16.49640175,36878121.33
54.29613808,41.39788145,37225639.66
94.2352158,63.94258843,11127397.8
30.60651197,99.65383543,67432597.87
83.37739783,94.28102088,55227521.96
70.36677612,51.61781464,31692899.62
8.048889646,19.58714356,40050271.62
22.09620926,58.26932697,43742946.03
26.00217979,76.01408021,50084318.58
17.97728545,3.096802777,39982541.64
33.46028315,46.12973752,41556421.15
34.32668928,20.20884774,39465901.49
94.13514461,23.54238205,21589910.2
24.23155002,57.5531063,43800555.46
53.42485638,81.74585152,56718610.62
74.32836959,85.28884122,51090618.85
17.076624,40.87908305,40962988.71
21.35799863,41.62688496,41135012.61
95.9706064,28.99372192,16710872.99
25.62933643,70.87138985,47930146.34
11.50772846,91.81682414,48767588.16
25.03839058,96.73914331,61149472.35
41.38971527,76.51726197,53117140.95
33.47283212,27.86818484,39679298.94
17.38090189,8.652747203,39965826.95
46.56800026,40.524608,39006727.32
79.61632255,41.27867545,24767834.32
57.18418576,1.477229537,39723951.18
36.31726455,96.50855354,68021738.72
49.53691278,28.67168971,37682286.33
15.04967882,93.44171538,51960112.69
27.21418623,88.8754974,57313456.48
13.03749958,74.13402919,45147580.14
93.53978612,83.17441201,25749091.96
14.6800918,29.84308195,40295762.71
39.72413671,63.91658125,46366169.13
97.3577521,24.4160525,18885746.01
77.38209292,16.56953984,32674310.82
21.33394072,91.70637621,55563474.72
70.79302665,24.89368443,32260057.23
25.13351832,97.5046501,61750519.58
69.02515263,21.31000181,33659785.45
14.35458987,85.19888332,48625533.79
19.38860339,89.1022547,53066106.53
